ages,male_AF_left-volume_0.025_centile,male_AF_left-volume_0.5_centile,male_AF_left-volume_0.975_centile,female_AF_left-volume_0.025_centile,female_AF_left-volume_0.5_centile,female_AF_left-volume_0.975_centile
61.92312312312313,16744.799336044816,34125.021100971615,45728.077080232804,16848.679929352,33107.29355979297,43971.80142537894
62.01311311311312,16732.651791054304,34114.799703131,45719.08550618017,16836.95150573123,33097.515451740735,43963.15021898947
62.10310310310311,16720.513264615805,34104.591818775654,45710.11200644995,16825.231795693697,33087.75048208095,43954.51640621548
62.193093093093104,16708.38374673665,34094.397437910964,45701.15657315179,16813.520789444778,33077.998641273145,43945.89997946173
62.28308308308309,16696.263227392225,34084.216550466655,45692.21919829471,16801.818477157238,33068.25991970354,43937.30093103615
62.37307307307308,16684.15169652644,34074.04914629741,45683.29987378785,16790.12484897155,33058.53430768561,43928.71925315077
62.46306306306307,16672.049144052446,34063.895215184246,45674.39859144227,16778.439894996736,33048.8217954614,43920.15493792327
62.55305305305306,16659.955559852915,34053.75474683488,45665.51534297141,16766.76360531055,33039.12237320192,43911.607977377476
62.64304304304305,16647.87093378072,34043.627730884946,45656.650119992715,16755.09596996026,33029.436031008394,43903.078363445056
62.73303303303304,16635.79525565946,34033.51415689894,45647.80291402872,16743.436978963004,33019.762758912846,43894.56608796618
62.82302302302303,16623.728515283816,34023.4140143707,45638.97371650773,16731.78662230628,33010.102546878945,43886.071142690605
62.91301301301302,16611.670702420295,34013.32729272483,45630.16251876576,16720.144889948773,33000.45538480341,43877.59351927951
63.00300300300301,16599.621806807518,34003.25398131707,45621.36931204682,16708.511771820366,32990.82126251595,43869.13320930537
63.092992992993004,16587.5818181569,33993.19406943559,45612.59408750471,16696.887257823022,32981.20016978087,43860.69020425409
63.18298298298299,16575.550726152913,33983.1475463013,45603.83683620336,16685.271337831073,32971.592096297325,43852.26449552521
63.27297297297298,16563.52852045392,33973.11440106945,45595.09754911897,16673.664001691803,32961.997031700615,43843.85607443362
63.36296296296297,16551.515190692266,33963.09462282961,45586.376217139834,16662.0652392259,32952.41496556265,43835.46493221022
63.45295295295296,16539.51072647502,33953.08820060707,45577.6728310683,16650.475040227895,32942.84588739284,43827.091060002946
63.54294294294295,16527.515117384308,33943.09512336335,45568.98738162133,16638.89339446665,32933.28978663887,43818.7344488778
63.63293293293294,16515.52835297793,33933.11537999732,45560.31985943196,16627.320291685817,32923.746652687456,43810.395089819845
63.72292292292293,16503.55042278966,33923.14895934569,45551.67025504997,16615.755721604422,32914.216474865396,43802.07297373455
63.81291291291292,16491.581316329833,33913.195850184,45543.038558943095,16604.199673917155,32904.69924243994,43793.76809144818
63.90290290290291,16479.621023085587,33903.25604122699,45534.42476149757,16592.652138294776,32895.19494461954,43785.48043370886
63.992892892892904,16467.669532521715,33893.32952113026,45525.828853020204,16581.113104384815,32885.703570555066,43777.20999118805
64.08288288288288,16455.726834080662,33883.41627849008,45517.25082373819,16569.582561811836,32876.225109340165,43768.956754481114
64.17287287287287,16443.79291718321,33873.51630184458,45508.6906638006,16558.06050017784,32866.759550011964,43760.72071410803
64.26286286286286,16431.867771228946,33863.62957967473,45500.14836327965,16546.54690906288,32857.30688155215,43752.501860515
64.35285285285285,16419.95138559642,33853.75610040435,45491.623912170755,16535.041778025166,32847.86709288704,43744.30018407436
64.44284284284285,16408.043749644,33843.89585240185,45483.11730039471,16523.545096601945,32838.440172889226,43736.11567508676
64.53283283283284,16396.144852709833,33834.04882398002,45474.62851779745,16512.056854309496,32829.0261103774,43727.94832378093
64.62282282282283,16384.25468411269,33824.21500339749,45466.15755415199,16500.577040643813,32819.624894117616,43719.798120315325
64.71281281281281,16372.373233152006,33814.39437885886,45457.704399158436,16489.105645080825,32810.23651282359,43711.665054778445
64.8028028028028,16360.500489108546,33804.5869385158,45449.26904244561,16477.64265707704,32800.86095515782,43703.54911719034
64.89279279279279,16348.636441244635,33794.79267046747,45440.8514735714,16466.188066069728,32791.498209731915,43695.45029750296
64.98278278278278,16336.781078804754,33785.011562761596,45432.45168202431,16454.74186147739,32782.148265107346,43687.36858560119
65.07277277277278,16324.934391015699,33775.24360339464,45424.06965722352,16443.30403270015,32772.811109796094,43679.30397130361
65.16276276276277,16313.096367087208,33765.48878031304,45415.70538852062,16431.87456912027,32763.486732261612,43671.25644436378
65.25275275275276,16301.266996212275,33755.74708141363,45407.35886520013,16420.45346010236,32754.17512091906,43663.22599447054
65.34274274274274,16289.446267567262,33746.01849454386,45399.03007647967,16409.040694993757,32744.876264135994,43655.212611248826
65.43273273273273,16277.634170312798,33736.30300750339,45390.719011512185,16397.636263125096,32735.59015023341,43647.21628426112
65.52272272272272,16265.830693593633,33726.60060804382,45382.42565938549,16386.2401538105,32726.316767485925,43639.237003007576
65.6127127127127,16254.03582653939,33716.91128387001,45374.150009123994,16374.852356348007,32717.056104122585,43631.274756927116
65.70270270270271,16242.24955826481,33707.23502264051,45365.89204968924,16363.472860019949,32707.80814832748,43623.3295353982
65.7926926926927,16230.47187786999,33697.57181196793,45357.65176998046,16352.101654093376,32698.572888240527,43615.40132773984
65.88268268268268,16218.702774440966,33687.921639420034,45349.429158835905,16340.73872782025,32689.350311957678,43607.49012321187
65.97267267267267,16206.942237049787,33678.284492519764,45341.22420503289,16329.38407043795,32680.14040753188,43599.59591101613
66.06266266266266,16195.19025475525,33668.66035874666,45333.03689728969,16318.037671169572,32670.943162973505,43591.71868029711
66.15265265265265,16183.446816602878,33659.04922553669,45324.86722426521,16306.699519224298,32661.758566251076,43583.85842014278
66.24264264264265,16171.711911625538,33649.45108028342,45316.715174560624,16295.369603797739,32652.586605291774,43576.01511958535
66.33263263263264,16159.98552884352,33639.865910338114,45308.58073671942,16284.047914072167,32643.427267981802,43568.188767601605
66.42262262262263,16148.267657265198,33630.29370301088,45300.46389922891,16272.73443921707,32634.280542167446,43560.379353114375
66.51261261261261,16136.558285887037,33620.7344455707,45292.364650520285,16261.429168389239,32625.14641565509,43552.58686499255
66.6026026026026,16124.857403694245,33611.18812524661,45284.282978970085,16250.132090733388,32616.024876212385,43544.81129205249
